time_ns,q0,q1,q2,q3,q4,q5,q6,v0,v1,v2,v3,v4,v5,v6,a0,a1,a2,a3,a4,a5,a6,ee_pos_x,ee_pos_y,ee_pos_z,ee_rot_x,ee_rot_y,ee_rot_z,ee_rot_w
14466362568,0.163404,-0.917222,-0.662465,-2.95029,-0.597067,2.22143,-0.854209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273898,-0.117466,0.359995,0.898651,0.43187,0.0692569,0.0334431
14751674239,0.162819,-0.916484,-0.668723,-2.95163,-0.60131,2.22546,-0.863749,-0.0025925,0.00698457,-0.044131,-0.0066964,-0.0274341,0.026312,-0.0657176,-0.0331175,0.0892232,-0.563744,-0.085542,-0.350452,0.336118,-0.839499,0.273752,-0.118015,0.359451,0.897799,0.433576,0.0696491,0.0334267
15036985909,0.162577,-0.916048,-0.671889,-2.95221,-0.603368,2.22743,-0.86852,-0.00479483,0.012918,-0.0816203,-0.012385,-0.0507394,0.048664,-0.121545,-0.0280626,0.0756047,-0.477698,-0.0724854,-0.296961,0.284815,-0.711363,0.273493,-0.119119,0.358404,0.896146,0.43687,0.0703939,0.0333366
15322297580,0.162209,-0.915054,-0.678167,-2.95316,-0.60727,2.23117,-0.877869,-0.00220233,0.00593339,-0.0374893,-0.00568859,-0.0233053,0.022352,-0.0558271,0.0329515,-0.0887761,0.560919,0.0851133,0.348696,-0.334434,0.835292,0.273041,-0.120951,0.356643,0.893346,0.442377,0.0716494,0.0332053
15564669898,0.16159,-0.913388,-0.688692,-2.95475,-0.613814,2.23745,-0.893543,0,0,0,0,0,0,0,0.0279329,-0.0752551,0.475489,0.0721502,0.295588,-0.283498,0.708073,0.272516,-0.122955,0.354686,0.8902,0.448457,0.0730503,0.0330887
15564669898,0.160905,-0.911543,-0.700354,-2.95652,-0.621063,2.2444,-0.910909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272042,-0.124663,0.35299,0.887446,0.453689,0.0742684,0.0330126
15849981569,0.160313,-0.909948,-0.710426,-2.95805,-0.627324,2.2504,-0.925908,-0.000931031,0.00848757,-0.044921,-0.00440574,-0.0256242,0.0246907,-0.0657176,-0.0117791,0.107382,-0.568326,-0.05574,-0.32419,0.31238,-0.831438,0.271719,-0.12584,0.351829,0.885539,0.457269,0.0751002,0.0329432
16135293240,0.159965,-0.908796,-0.717396,-2.95902,-0.631575,2.25449,-0.936246,-0.00157026,0.014315,-0.075763,-0.00743063,-0.0432174,0.041643,-0.110838,-0.00806721,0.0735431,-0.389232,-0.0381748,-0.222029,0.213941,-0.56943,0.271409,-0.12711,0.350624,0.883535,0.461001,0.0759482,0.0327945
16420604910,0.159768,-0.907423,-0.724846,-2.95982,-0.635882,2.25863,-0.947174,-0.000639229,0.00582741,-0.030842,-0.0030249,-0.0175931,0.0169522,-0.0451205,0.0117206,-0.106849,0.565506,0.0554633,0.322581,-0.310829,0.827312,0.270986,-0.128827,0.348995,0.880806,0.466022,0.0770895,0.0325845
16616494739,0.159559,-0.905511,-0.734962,-2.96081,-0.641652,2.26419,-0.961973,0,0,0,0,0,0,0,0.0080335,-0.0732358,0.387605,0.0380153,0.221101,-0.213047,0.567051,0.270509,-0.130657,0.347235,0.877836,0.471402,0.0783238,0.0323858
