time_ns,q0,q1,q2,q3,q4,q5,q6,v0,v1,v2,v3,v4,v5,v6,a0,a1,a2,a3,a4,a5,a6,ee_pos_x,ee_pos_y,ee_pos_z,ee_rot_x,ee_rot_y,ee_rot_z,ee_rot_w
4249704947,0.173714,-0.925644,-0.568356,-2.92639,-0.530062,2.15814,-0.708275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278691,-0.0993729,0.378169,0.925174,0.373925,0.0561482,0.0328643
4349704947,0.172985,-0.925245,-0.574321,-2.9281,-0.534471,2.16228,-0.71765,-0.0145939,0.00797375,-0.1193,-0.0340977,-0.0881816,0.0828636,-0.1875,-0.145939,0.0797375,-1.193,-0.340977,-0.881816,0.828636,-1.875,0.278427,-0.100512,0.377064,0.923672,0.377498,0.0569317,0.032908
4449704947,0.170796,-0.924049,-0.592216,-2.93321,-0.547698,2.17471,-0.745775,-0.0291878,0.0159475,-0.238599,-0.0681953,-0.176363,0.165727,-0.375,-0.145939,0.0797375,-1.193,-0.340977,-0.881816,0.828636,-1.875,0.277591,-0.103859,0.373741,0.919067,0.388206,0.0593059,0.0330764
4549704947,0.168344,-0.92271,-0.612255,-2.93894,-0.56251,2.18863,-0.777271,-0.0173472,0.00947811,-0.141807,-0.0405307,-0.104818,0.098497,-0.222875,0.145939,-0.0797375,1.193,0.340977,0.881816,-0.828636,1.875,0.276579,-0.10748,0.370009,0.913733,0.40017,0.0620076,0.0333328
4649704947,0.167339,-0.922161,-0.620471,-2.94129,-0.568583,2.19434,-0.790183,-0.00275335,0.00150436,-0.0225076,-0.00643301,-0.0166367,0.0156334,-0.0353746,0.145939,-0.0797375,1.193,0.340977,0.881816,-0.828636,1.875,0.276142,-0.108925,0.368477,0.911492,0.405065,0.0631286,0.033459
4668571379,0.167313,-0.922147,-0.620683,-2.94135,-0.56874,2.19449,-0.790517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276131,-0.108962,0.368437,0.911434,0.405192,0.0631577,0.0334625
4668571379,0.167313,-0.922147,-0.620683,-2.94135,-0.56874,2.19449,-0.790517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276131,-0.108962,0.368437,0.911434,0.405192,0.0631577,0.0334625
4768571379,0.166738,-0.921422,-0.626833,-2.94266,-0.57291,2.19845,-0.799892,-0.011507,0.0144973,-0.122998,-0.0263155,-0.0833895,0.0793082,-0.1875,-0.11507,0.144973,-1.22998,-0.263155,-0.833895,0.793082,-1.875,0.27587,-0.110085,0.367361,0.909848,0.408623,0.0639259,0.0334337
4868571379,0.165012,-0.919247,-0.645283,-2.94661,-0.585418,2.21035,-0.828017,-0.0230139,0.0289946,-0.245996,-0.0526309,-0.166779,0.158616,-0.375,-0.11507,0.144973,-1.22998,-0.263155,-0.833895,0.793082,-1.875,0.275043,-0.113393,0.364124,0.905001,0.41889,0.0662527,0.0333933
4968571378,0.163266,-0.917047,-0.663947,-2.9506,-0.598072,2.22238,-0.85647,-0.0117091,0.0147519,-0.125158,-0.0267776,-0.084854,0.0807011,-0.190793,0.11507,-0.144973,1.22998,0.263155,0.833895,-0.793082,1.875,0.274139,-0.116648,0.360837,0.899962,0.429232,0.0686405,0.0334237
5068571378,0.16267,-0.916297,-0.670313,-2.95197,-0.602388,2.22649,-0.866174,-0.000202092,0.00025461,-0.00216016,-0.000462167,-0.00146453,0.00139286,-0.00329298,0.11507,-0.144973,1.22998,0.263155,0.833895,-0.793082,1.875,0.273816,-0.117737,0.359714,0.898212,0.432748,0.0694627,0.0334506
5070327634,0.16267,-0.916297,-0.670315,-2.95197,-0.602389,2.22649,-0.866177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273816,-0.117737,0.359713,0.898211,0.43275,0.069463,0.0334506
5070327634,0.16267,-0.916297,-0.670313,-2.95197,-0.602388,2.22649,-0.866174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273816,-0.117737,0.359714,0.898212,0.432748,0.0694627,0.0334506
